Date,Zodiak,Horoscope
13.01.2016,Козерог,"
Сегодня от вас, Козероги, зависит многое, возможно даже ваша карьера. Будьте внимательны к тому, что вы говорите, постарайтесь не поддаваться эмоциям и реагируйте на критику правильно. Звезды также советуют составить план работы, и позаботиться о своей безопасности и здоровье.
"
14.01.2016,Козерог,"
Сегодняшний день  будет для Козерогов немного спокойнее, чем предыдущий, вы сможете слегка отступить от правил и расслабиться, однако все-таки будете благоразумны, как и раньше. Семейная и частная жизнь станет более гармоничной и размеренной.
"
15.01.2016,Козерог,"
В первой половине дня Козероги будут заняты семейными и личными делами. Вы сможете поразмыслить над своими желаниями и вкусами.  Возможно, вы перемените отношение к какой-то ситуации или делу, и найдете их весьма благоприятными. Вечером стоит подумать о финансовых планах.
"
16.01.2016,Козерог,"
Козероги, ваша финансовая проницательность может подвести вас сегодня, поэтому будьте осторожны. Вероятность убытков гораздо больше, чем прибыли. Вас могут попросить вернуть долг.
"
17.01.2016,Козерог,"
Сегодня Козерогам не стоит планировать никаких важных дел, поскольку вас может подвести ваша рассеянность и невнимание к деталям. Расслабьтесь и постарайтесь снизить активность и физическую деятельность.
"
18.01.2016,Козерог,"
Козероги, вы приобретете влиятельного партнера, который придаст вдохновения для последующей работы или жизни. Заочное общение может принести вам хорошие дивиденды, например  встретите любовь всей жизни или хорошего партнера.
"
19.01.2016,Козерог,"
Сегодня для вас, Козероги, все будет выглядеть непривычным - друзья будут вести себя странно, дела повернуться к вам с неожиданной стороны. Однако есть вероятность получения новых впечатлений в дороге или от старых друзей.
"
20.01.2016,Козерог,"
Козероги, утро подходит для общения. Возможна новая информация, которая изменит ваши планы и настроения. Вечером вам придется задуматься над решением важной проблемы, поэтому не реагируйте на нападки домочадцев и не вступайте в конфликты.
"
21.01.2016,Козерог,"
У Козерогов, вероятность конфликта с близким человеком весьма велика в первой половине дня. Ваша резкость, возможно, будет оправдана. Чтобы разрядить ситуацию, дайте вашему оппоненту легкое задание, чтобы отвлечь его, а сами займитесь физическим трудом.
"
22.01.2016,Козерог,"
Козерогу лучше сегодня обратить свое внимание на семейные дела. Соберите всех домочадцев для решения какой-то проблемы или реализации какого-то мероприятия - это вас сблизит. Звезды, однако, не советуют осуществлять капитальные изменения в квартире.
"
23.01.2016,Козерог,"
Козероги, сегодня вы сможете практически идеально сочетать отдых с карьерой. С партнерами придерживайтесь конкретных разговоров, например, финансовой темы. Финансовые авантюры лучше оставить на потом. 
"
24.01.2016,Козерог,"
У Козерогов отличное время для отдыха и раскрытия своих талантов. В семейной   жизни вас ждет период, полный неопределенности. Ваша любовь вдруг примет совершенно невообразимую форму.
"
25.01.2016,Козерог,"
Первая половина дня у Козерогов будет посвящена отдыху, во второй займитесь упорядочиванием своего рабочего места и трудовых обязанностей.
"
26.01.2016,Козерог,"
С утра вы, Козероги, получите отличную возможность справиться с рутинной работой с легкостью и удовольствием.  Лучше закончить все дела до обеда, поскольку после вы почувствуете себя усталым.
"
27.01.2016,Козерог,"
В первой половине дня Козерогам лучше не заниматься важными делами, а устроить отдых. Вечером у вас появится возможность заключить удачное сотрудничество. Однако при всей своей прибыльности этот договор будет весьма трудозатратным.
"
28.01.2016,Козерог,"
Козероги уделите сегодня больше внимания желаниям и интересам своего собеседника,  а также постарайтесь быть дипломатичнее, иначе единственного чего вы достигните, это испортите отношение с оппонентом. Научитесь правильно выражать свои мысли, и все получится.
"
29.01.2016,Козерог,"
В первой половине дня Козерогов ждет доверительная беседа, в которой вы наконец-то найдете общие интересы с оппонентом. Вечер более конфликтен. Звезды советуют успокоиться, и если нет возможности устранить конфликт, обезопасить себя.
"
30.01.2016,Козерог,"
Козерогов сегодня будет тянуть к рискованным действиям. Вам трудно будет сдерживать себя. Но звезды считают, что ваши действия будут определяться не ваши желаниями, а поведением другого человека. Плохой день для начинаний.
"
31.01.2016,Козерог,"
Противоречивое настроение и приверженность несбыточным желаниям пройдут у Козерогов к вечеру, когда вы сможете трезво оценить все возможности. Вы получите небольшой шанс изменить что-то в своей жизни. Не упускайте его, даже если вероятность успеха невелика.
"
1.02.2016,Козерог,"
Ваше любопытство, Козероги, принесет вам сегодня больше хлопот, чем удовольствия. Поскольку день, предназначенный для активной трудовой деятельности, не оставит времени для несерьезности. Удачный день для подачи документов в различные инстанции.
"
2.02.2016,Козерог,"
Подготовкой к решительным действиям звезды советуют заняться Козерогам с утра. Планируйте, вносите в уже готовый план небольшие изменения - сделайте все, чтобы вечером быть готовым к активным действиям.
"
3.02.2016,Козерог,"
Принципиальность сегодня будет уместна для Козерогов в выполнении правил этикета, а в остальном будьте проще и дружелюбнее, тогда вы сможете закончить переговоры, связанные с финансами, на положительной ноте.
"
4.02.2016,Козерог,"
Интересные идеи буквально будут преследовать вас сегодня, Козероги. В первой половине дня вы только нащупаете их нить. Поговорите с друзьями, коллегами, посмотрите на окружающие события, и, вполне возможно, что-то натолкнет вас на мысль, как реализовать задуманное.
"
5.02.2016,Козерог,"
Эксперименты сегодня противопоказаны Козерогам. Традиционный путь гораздо безопаснее и эффективнее. Также не стоит заводить отношения с новым человеком или компанией. Будьте внимательны к действиям друзей, поскольку они сегодня могут вам нечаянно навредить.
"
6.02.2016,Козерог,"
Козероги, сегодня вы проницательны, как никогда. В ваших руках все спорится, но на первый план выходит мыслительная деятельность. Вы можете повстречать новых людей, или получить новую информацию. В любом случае вы будете готовы к новому.
"
7.02.2016,Козерог,"
Рассчитывать Козерогам сегодня стоит только на себя и собственный план действий, отступление от которого чревато проблемами. Если вы хотите достичь успеха, не стоит смешивать вашу цель с эмоциональной стороной вашей жизни.
"
8.02.2016,Козерог,"
Непредсказуемость и таинственность витают вокруг Козерогов. Позвольте себе помечтать. Необычность покажется вам сегодня самым продуктивным качеством любых отношений или проектов. 
"
9.02.2016,Козерог,"
Звезды советуют Козерогамтщательно думать прежде, чем высказывать свою мысль. Возможно, вы увидите, что вы вдруг перестали нуждаться в чем-то или ком-то, что заставит вас пересмотреть круг своего общения.
"
1.03.2016,Козерог,"
Козерогов ждет новый источник информации, который будет иметь большое значение. Однако вам стоит быть осторожным и постараться выловить из общего потока нужную и полезную информацию. Сегодня велика вероятность неожиданностей.
"
2.03.2016,Козерог,"
Рисковать сегодня не стоит Козерогам, действуйте по плану. Возможно, вам придется разбираться с прошлыми ошибками. Чтобы не навлечь на себя гнев начальства, предложите немедленное решение проблемы. Вечер будет менее напряженным, но и трудоспособность снизится.
"
3.03.2016,Козерог,"
Козерогам звезды советуют опираться на интуицию. Она поможет не только поправить материальное положение, но и получить удовольствие от выбранного занятия.  Если вам необходимо наладить какие-либо отношения, сделайте их менее формальными.
"
4.03.2016,Козерог,"
Для увеличения круга знаний очень хороший день у Козерогов. Источники информации или учителя будут попадаться вам буквально на каждом шагу.  Отношения со второй половинкой перейдут на новый более эмоциональный уровень.
"
5.03.2016,Козерог,"
Сегодня Козерогам лучше общаться с людьми, которые могут дать вам что-то - знания, поддержку, новые идеи. Тогда общение будет полезным и приятным, а вот остальное окружение будет отличаться непредсказуемостью.  Доверять вдохновению сегодня не стоит.
"
6.03.2016,Козерог,"
День у Козерогов начнется с приятной новости. К обеду звезды советуют вам сосредоточиться на выполнении плана, сочетая в себе авантюризм и организованность. Вечер хорош для расширения кругозора, однако есть вероятность заблудиться, как в мыслях, так и на местности.
"
7.03.2016,Козерог,"
Любая информация хороша - этот принцип должен стать основным для Козерогов. Не гнушайтесь даже самой сомнительной информацией, возможно именно она, и понадобиться вам в будущем. Плохой день для официальных действий.  Домашние дела потребуют много внимания, однако и принесут столько же радости.
"
8.03.2016,Козерог,"
Реальность будет мало интересовать Козерогов сегодня. В первой половине дня вы будете увлечены всем, чем угодно, но только не своей жизнью. Позвольте себе такую малость. Ведь вечером вам придется собрать все свои силы, чтобы противостоять суровым условиям бытия.
"
9.03.2016,Козерог,"
Козерогам будет сегодня вести как никогда. Вы будете именно там, где вы должны быть. Общение с людьми также будет удачным, поскольку, несмотря на препятствия, главным останетесь вы.
"
10.03.2016,Козерог,"
Желание быть оригинальным не оставит Козерогов. Вы будете интересоваться необычной информацией, необычной обстановкой с точки зрения практического применения. Общение по деловым вопросам стоит перенести на утро. 
"
11.03.2016,Козерог,"
С утра ситуация будет не такой хорошей, как бы вам не хотелось, Козероги. От вас могут потребовать вернуть долг. Однако во второй половине дня обстановка поменяется. В финансовых вопросах необходимо сочетать оправданный риск и осторожность, и все будет хорошо.
"
12.03.2016,Козерог,"
Мечтательность не доведет до добра Козерогов. Ваш здравый смысл сегодня спит и поэтому когда кто-то вам предложит сомнительное мероприятие, вы можете сразу согласиться. Звезды советуют свои фантазии направить в творческое русло, авантюры подождут.
"
13.03.2016,Козерог,"
Финансовая сфера жизни Козерогов находится под властью иллюзий. Поэтому звезды не советуют ввязываться в любые финансовые авантюры, даже если вам кажется, что вы получите неплохой результат. Подумайте лучше о своем душевном состоянии.
"
14.03.2016,Козерог,"
У Козероговне будет недостатка в нужной информации, она сама будет падать буквально с неба. Что касается взаимоотношений, то  сегодня отличный день, чтобы укрепить их или наладить. Ели вы с партнером в ссоре, займитесь общим делом, и это вас сблизит.
"
15.03.2016,Козерог,"
Сегодняшний день подарит Козерогам огромную массу неожиданной и интересной информации. Звезды советуют относиться к этому изобилию, только как к способу быть в курсе того, что твориться в мире. Если что-то вас заинтересовало, перенесите решение вопроса на завтра.
"
16.03.2016,Козерог,"
Козерогам будет трудно найти компромисс между семейной жизнью и карьерой. Придется постараться. Для этого составьте четкий план и следуйте ему, иначе придется кого-то обидеть. Вечер всецело проведите в кругу семьи.
"
17.03.2016,Козерог,"
Козерогам необходимо найти немного времени, чтобы решить семейные вопросы. Так как в основном вы заняты работой, много времени вы не найдете, поэтому решайте вопросы быстро и конкретно. В любых переговорах необходимо быть активным, иначе вас просто не услышат.
"
18.03.2016,Козерог,"
 Козероги склонны идеализировать домашнюю обстановку.  Если наоборот вам кажется, что все плохо, придумайте оригинальный выход из положения. Вечером вам захочется подзаработать, для чего необходимо будет потрудиться. Не факт, что вы получите прибыль.
"
19.03.2016,Козерог,"
Хороший день у Козерогов для раскрытия талантов. Продемонстрировав свои способности, вы получите не только моральное удовлетворение, но, возможно, и материальное. Сегодня стоит обратить внимание на воспитание детей и укрепление семейных связей.
"
20.03.2016,Козерог,"
Семейная жизнь выходит на первый план у Козерогов. Вы будете уверены в том, что требуются существенные изменения, однако сил на реорганизацию будет не хватать. Вечером можете расслабиться от дневных дел.
"
21.03.2016,Козерог,"
Любые рабочие контакты и переговоры будут продуктивными для Козерогов. Чем раньше вы встанете утром, тем больше рабочих и домашних дел успеете сделать. А вот вечером стоит расслабиться, работать сейчас нет никакой необходимости и пользы.
"
22.03.2016,Козерог,"
Первая половина дня у Козерогов не энергична, но может стать достаточно продуктивной, если рутинную работу перемежать с отдыхом. Вечером работа практически бесполезна, единственное, что вы можете сделать, навести порядок на своем рабочем столе.
"
23.03.2016,Козерог,"
Будьте внимательны, Козероги, есть вероятность, что партнерские контакты будут на грани распада. Если вы не уверены в расположении партнера, не стоит с ним сближаться. Однако совсем отстраняться тоже не надо. 
"
24.03.2016,Козерог,"
Любое общение Козерогам стоит перенести из дома в таинственное и необычное место, где вы сможете насладиться обстановкой и достигнуть взаимопонимание с вашим партнером, будь это любимый человек, коллега, или босс.
"
25.03.2016,Козерог,"
Общение с партнерами сегодня у Козерогов будет строиться на уже опробованных принципах. Может измениться настроение ваше или партнера, но не суть разговора. Постарайтесь контролировать свои эмоции, особенно во второй половине дня.
"
26.03.2016,Козерог,"
У Козерогов возможно сегодня семейное торжество или встреча. В любом случае вы будете рады побыть с близкими или принять гостей. В дружеской обстановке также легче решать насущные семейные проблемы. Вечером вы сможете отдохнуть от суеты.
"
27.03.2016,Козерог,"
Не обращайте внимания на свое настроение с утра, Козероги, поскольку к обеду вы сможете трезво посмотреть на свое окружение. Вторая половина дня хороша для различной творческой деятельности, для общения и поиска другого места жительства.
"
28.03.2016,Козерог,"
Неплохих результатов могут добиться Козероги, если их деятельность связана с образовательной, социальной или духовной сферами.  В решении любых конфликтных вопросов вы сможете найти в себе силы укрепить свое положение.
"
29.03.2016,Козерог,"
Утро подарит Козерогам небольшие удачи. После обеда ситуация станет напряженней. Конфликт будет решен, только если вы найдете оригинальное творческое решение.
"
30.03.2016,Козерог,"
Не стоит Козерогам заключать официальные договора, поскольку некоторые вопросы так и не смогут быть закрыты. Лучшим выходом для вас будет попросить о переносе переговоров, если вы будете любезны, вашу просьбу обязательно выполнят.
"
31.03.2016,Козерог,"
В начале дня Козерогам трудно будет ориентироваться в происходящем. Единственное, что вы можете сделать, положиться на интуицию. После обеда усилятся все чувства, а также желания. Причем большую роль здесь сыграет ваш партнер.
"
1.04.2016,Козерог,"
Козерогамнеобходимо, не смотря на удачно складывающиеся обстоятельства, приложить максимум усилий для достижения целей. Эти сутки хороши для того, чтобы обсудить семейные проблемы, иначе время будет упущено безвозвратно.
"
2.04.2016,Козерог,"
Этот день дарит Козерогам огромную массу возможностей. Однако не спешите радоваться, вы еще не до конца разобрались с ранее намеченными планами, поэтому воспользоваться сегодняшними возможностями вам не придется. Закончите то, что начали.
"
3.04.2016,Козерог,"
Любые отношения внутри семьи будут гармоничными у Козерогов. Будьте уверенны, даже если вы находитесь в конфликте с кем-то из родственников, вы сможете найти слова, чтобы вместе завершить какое-то дело.
"
4.04.2016,Козерог,"
Этот день позволит Козерогам отвлечься от будничной суеты и заняться духовным развитием. Вам захочется приобщиться к искусству, духовным практикам или побыть в одиночестве с собой.
"
5.04.2016,Козерог,"
Лучшим местом для отдыха Козерога будет сегодня работа. Вы сможете насладиться любимым делом и получить материальную отдачу от этого. Единственное, что вам стоит избегать - слишком энергоемких работ.
"
6.04.2016,Козерог,"
Общение будет проходить удачно у Козерогов, причем это касается, как личного общения, так и заочного. Сегодня возможно также, возрастут ваши аппетиты, но не беспокойтесь, вы сможете  обеспечить удовлетворение своих потребностей полностью.
"
7.04.2016,Козерог,"
Козерогам  текущими делами лучше заняться с утра, когда есть возможность несколько изменить условия своего быта или работы. Более основательно к новым планам стоит приступить к вечеру. Главное, не отступайте от намеченного плана не на йоту, иначе много потеряете.
"
8.04.2016,Козерог,"
Не стоит торопиться с новыми планами и идеями Козерогам, поскольку весьма велика вероятность финансовых потерь и неверных советов. Звезды советуют  потратить имеющиеся средства и силы на более обыденные цели, такие как быт, семью.
"
9.04.2016,Козерог,"
Пофантазировать разрешат сегодня звезды Козерогам, что, согласитесь, бывает не часто. Подумайте о будущем, а прошлое оставьте в прошлом. Попытайтесь визуализировать то, чего вы хотите добиться.
"
10.04.2016,Козерог,"
Козерогам не стоит вгонять себя в строгие рамки сегодня. Любое дело будет удачным, если будет организовано в непринужденной обстановке. А лучше всего сегодня отдохнуть, побыть с семьей и детьми.
"
11.04.2016,Козерог,"
Козероги найдут покровителя в среде ближайших родственников. Если вы и дальше хотите пользоваться поддержкой, найдите что-то общее, что вас связывает. Это хорошее время для поездки, которая подарит массу эмоций.
"
12.04.2016,Козерог,"
Не стоит Козерогам ничего планировать на сегодня,   поскольку весьма вероятна неопределенная ситуация как дома, так и на работе. Лишь к вечеру вы сможете приступить к активной полезной деятельности.
"
13.04.2016,Козерог,"
Энтузиазм сегодня у Козерогов быстро загорается и быстро гаснет. Поэтому займитесь теми делами, которые не требуют постоянства. У ваших близких будет такое же неопределенное настроение. Если вы хотите что-то получить от них, действуйте конкретно и быстро.
"
14.04.2016,Козерог,"
Козерогам необходимо тихая семейная гавань сегодня, но тишины будет маловато. Обстановка заставит действовать. Светила предупреждают, не стоит делать все самому, переложите ответственность. В конфликтной ситуации лучше отступить, вы все равно не выиграете спор.
"
15.04.2016,Козерог,"
В любом деле Козерогам необходимо проявлять осторожность. Чрезмерная активность не даст хороших результатов, а только испортит важное мероприятие. Запаситесь терпением и силами, и оставьте трудоемкие дела на потом.
"
16.04.2016,Козерог,"
Творческое начало Козерогов выйдет на первый план сегодня и позволит далеко продвинуться по карьерной лестнице. Главное, трудитесь не покладая рук. Если вы родитель, обратите внимание на таланты и интересы подрастающего поколения.
"
17.04.2016,Козерог,"
Если ваша работа, Козероги, связана деятельностью на офисной технике или вождением автомобиля, то вам не придется скучать. Правда звезды советуют распределить работу так, чтобы вам не пришлось заниматься одной и той же рутиной слишком долго. Несколько небольших заданий подойдут больше.
"
18.04.2016,Козерог,"
Козерогам светила не советуют браться за то дело, которое изобилует потоком информации или объемом работы. Вы не сможете до конца осмыслить, то, что от вас потребуется, чтобы достигнуть результата. Быть может, что вам покажется, что вам не хватает образования  или квалификации.
"
19.04.2016,Козерог,"
Странный день предстоит Козерогам сегодня. Не принимайте близко к сердцу, ни мелкие неприятности, ни непредвиденный успех - все это временно. Вечером забота любимого человека будет вас больше раздражать, чем радовать.
"
20.04.2016,Козерог,"
Если вы хотите заключить перемирие со своим оппонентом, Козероги, поговорите с ним по душам, найдите общие точки соприкосновения и будьте дружелюбны. Для того чтобы завоевать хорошее отношение большой аудитории, покажите свои таланты, напомните о своих прошлых достижениях и заслугах.
"
21.04.2016,Козерог,"
Вам, Козероги, просто придется прийти к общему мнению с вашим партнером. Не беспокойтесь, ваши отношения в скорости так изменятся, что вы даже и не вспомните о тех пунктах договора, которыми вам пришлось пожнртвовать. Вечером постарайтесь не поддаваться эмоциям и порывам.
"
22.04.2016,Козерог,"
Если риск это часть вашей работы, Козероги, то небольшая встряска пойдет вам на пользу. В противном же случае кризисная ситуация может привести к плачевным последствиям. Не исключены потери и проблемы со здоровьем.
"
23.04.2016,Козерог,"
Во всем сегодня желательно знать меру. Козероги будут под  влиянием сильного соблазна, поэтому им будет трудно придерживаться этого правила. К вечеру вы сможете совладать с некой сложной задачей, однако для этого придется поработать.
"
24.04.2016,Козерог,"
Удачный день у Козерогов. Однако возможны некоторые препятствия. Вы вдруг вспомните о чем-то или ком-то, кого раньше очень любили или интересовались.  Не стоит думать, что прошлое вернулось, просто пересмотрите свою симпатию и найдите более подходящий объект.
"
25.04.2016,Козерог,"
В первой половине дня работа и общение не доставят Козерогам  такого удовольствия, как вечером. Вы не будете удовлетворены тем, что делаете. Единственное, что можно сейчас реализовать это небольшой эксперимент и то, если его результаты можно применить на практике.
"
26.04.2016,Козерог,"
Смешивать личную и профессиональную сферы Козерогам сегодня не рекомендуется. Вам придется потрудиться на пути к компромиссу. Также если вы хотите заняться рискованным мероприятием, то вполне можете довериться партнеру.
"
27.04.2016,Козерог,"
Не стоит зацикливаться на прошлых обидах и неприятностях Козерогам. Будьте оптимистом. Если вам необходима поддержка начальства или коллег, окажите им любезность. Весь день старайтесь быть добродушным и остерегайтесь даже самых мелких конфликтов.
"
28.04.2016,Козерог,"
Необходимо быть осмотрительным Козерогам. Ваше самолюбие может повредить вам не только в делах, но и в семейной, и интимной жизни. Прежде чем делать что-то, особенно рискованное, вы должны быть точно уверены в том, что рассмотрели все варианты и готовы к препятствиям.
"
